participant_id,date,time,sensor,value,unit,device_model,source,type
U3884527492,2026-03-01,08:04:18,lamp.steps,5,count,,daily pedometer,floors_descended
U3884527492,2026-03-01,08:04:17,lamp.steps,1558,count,,daily pedometer,step_count
U3884527492,2026-03-01,08:04:17,lamp.steps,952.6200000017416,meter,,daily pedometer,distance
U3884527492,2026-03-01,08:04:17,lamp.steps,0.9783380309024544,seconds per meter,,daily pedometer,average_active_pace
U3884527492,2026-03-01,08:04:17,lamp.steps,1,count,,daily pedometer,floors_ascended
U3884527492,2026-03-01,08:04:17,lamp.steps,5,count,,daily pedometer,floors_descended
U3884527492,2026-03-01,08:04:15,lamp.steps,1558,count,,daily pedometer,step_count
U3884527492,2026-03-01,08:04:15,lamp.steps,952.6200000017416,meter,,daily pedometer,distance
U3884527492,2026-03-01,08:04:15,lamp.steps,0.9783380309024544,seconds per meter,,daily pedometer,average_active_pace
U3884527492,2026-03-01,08:04:15,lamp.steps,1,count,,daily pedometer,floors_ascended
U3884527492,2026-03-01,08:04:15,lamp.steps,5,count,,daily pedometer,floors_descended
U3884527492,2026-03-01,07:56:15,lamp.steps,1558,count,,daily pedometer,step_count
U3884527492,2026-03-01,07:56:15,lamp.steps,952.6200000017416,meter,,daily pedometer,distance
U3884527492,2026-03-01,07:56:15,lamp.steps,0.9783380309024544,seconds per meter,,daily pedometer,average_active_pace
U3884527492,2026-03-01,07:56:15,lamp.steps,1,count,,daily pedometer,floors_ascended
U3884527492,2026-03-01,07:56:15,lamp.steps,5,count,,daily pedometer,floors_descended
U3884527492,2026-03-01,07:56:13,lamp.steps,1558,count,,daily pedometer,step_count
U3884527492,2026-03-01,07:56:13,lamp.steps,952.6200000017416,meter,,daily pedometer,distance
U3884527492,2026-03-01,07:56:13,lamp.steps,0.9783380309024544,seconds per meter,,daily pedometer,average_active_pace
U3884527492,2026-03-01,07:56:13,lamp.steps,1,count,,daily pedometer,floors_ascended
U3884527492,2026-03-01,07:56:13,lamp.steps,5,count,,daily pedometer,floors_descended
U3884527492,2026-03-01,07:56:11,lamp.steps,1558,count,,daily pedometer,step_count
U3884527492,2026-03-01,07:56:11,lamp.steps,952.6200000017416,meter,,daily pedometer,distance
U3884527492,2026-03-01,07:56:11,lamp.steps,0.9783380309024544,seconds per meter,,daily pedometer,average_active_pace
U3884527492,2026-03-01,07:56:11,lamp.steps,1,count,,daily pedometer,floors_ascended
U3884527492,2026-03-01,07:56:11,lamp.steps,5,count,,daily pedometer,floors_descended
U3884527492,2026-03-01,07:50:53,lamp.steps,1558,count,,daily pedometer,step_count
U3884527492,2026-03-01,07:50:53,lamp.steps,952.6200000017416,meter,,daily pedometer,distance
U3884527492,2026-03-01,07:50:53,lamp.steps,0.9783380309024544,seconds per meter,,daily pedometer,average_active_pace
U3884527492,2026-03-01,07:50:53,lamp.steps,1,count,,daily pedometer,floors_ascended
U3884527492,2026-03-01,07:50:53,lamp.steps,5,count,,daily pedometer,floors_descended
U3884527492,2026-03-01,07:50:52,lamp.steps,1558,count,,daily pedometer,step_count
U3884527492,2026-03-01,07:50:52,lamp.steps,952.6200000017416,meter,,daily pedometer,distance
